seed,lambda,vpt_lt,diverged,error
40,1e-12,0.6204819277108434,True,
40,3.290344562312671e-12,0.6204819277108434,True,
40,1.0826367338740563e-11,0.8253012048192772,True,
40,3.5622478902624517e-11,0.963855421686747,True,
40,1.1721022975334794e-10,1.1265060240963856,True,
40,3.856620421163472e-10,1.283132530120482,True,
40,1.2689610031679233e-09,1.0783132530120483,True,
40,4.175318936560409e-09,0.8313253012048193,True,
40,1.3738237958832637e-08,0.6204819277108434,True,
40,4.52035365636025e-08,0.6144578313253012,False,
40,1.4873521072935117e-07,0.6144578313253012,False,
40,4.893900918477499e-07,0.6325301204819277,False,
40,1.6102620275609426e-06,0.8493975903614458,False,
40,5.298316906283713e-06,1.2048192771084338,True,
40,1.7433288221999907e-05,0.8614457831325302,True,
40,5.736152510448681e-05,0.3192771084337349,True,
40,0.00018873918221350996,,False,Validation NMSE too high: 0.0000124008
40,0.0006210169418915629,,False,Validation NMSE too high: 0.0000216334
40,0.002043359717856948,,False,Validation NMSE too high: 0.0000337102
40,0.006723357536499335,,False,Validation NMSE too high: 0.0000474657
40,0.022122162910704502,,False,Validation NMSE too high: 0.0000633619
40,0.07278953843983162,,False,Validation NMSE too high: 0.0000843144
40,0.2395026619987491,,False,Validation NMSE too high: 0.0001270937
40,0.7880462815669936,,False,Validation NMSE too high: 0.0002487846
40,2.592943797404678,,False,Validation NMSE too high: 0.0006405971
40,8.531678524172815,,False,Validation NMSE too high: 0.0016922760
40,28.072162039411815,,False,Validation NMSE too high: 0.0036465100
40,92.36708571873885,,False,Validation NMSE too high: 0.0060843480
40,303.9195382313207,,False,Validation NMSE too high: 0.0093268090
40,1000.0,,False,Validation NMSE too high: 0.0191710200
41,1e-12,1.7650602409638554,True,
41,3.290344562312671e-12,2.0963855421686746,False,
41,1.0826367338740563e-11,1.9036144578313252,False,
41,3.5622478902624517e-11,2.9759036144578315,False,
41,1.1721022975334794e-10,2.6204819277108435,False,
41,3.856620421163472e-10,2.6265060240963853,False,
41,1.2689610031679233e-09,1.4156626506024097,False,
41,4.175318936560409e-09,1.1686746987951808,False,
41,1.3738237958832637e-08,1.1686746987951808,False,
41,4.52035365636025e-08,1.4337349397590362,False,
41,1.4873521072935117e-07,1.2891566265060241,False,
41,4.893900918477499e-07,0.8614457831325302,False,
41,1.6102620275609426e-06,0.7228915662650602,False,
41,5.298316906283713e-06,0.7108433734939759,False,
41,1.7433288221999907e-05,0.4457831325301205,False,
41,5.736152510448681e-05,0.3192771084337349,False,
41,0.00018873918221350996,,False,Validation NMSE too high: 0.0000106207
41,0.0006210169418915629,,False,Validation NMSE too high: 0.0000185790
41,0.002043359717856948,,False,Validation NMSE too high: 0.0000326281
41,0.006723357536499335,,False,Validation NMSE too high: 0.0000512563
41,0.022122162910704502,,False,Validation NMSE too high: 0.0000712746
41,0.07278953843983162,,False,Validation NMSE too high: 0.0000940451
41,0.2395026619987491,,False,Validation NMSE too high: 0.0001241691
41,0.7880462815669936,,False,Validation NMSE too high: 0.0001806570
41,2.592943797404678,,False,Validation NMSE too high: 0.0003791397
41,8.531678524172815,,False,Validation NMSE too high: 0.0009886517
41,28.072162039411815,,False,Validation NMSE too high: 0.0025143254
41,92.36708571873885,,False,Validation NMSE too high: 0.0076438579
41,303.9195382313207,,False,Validation NMSE too high: 0.0241671025
41,1000.0,,False,Validation NMSE too high: 0.0617345427
42,1e-12,1.2650602409638554,False,
42,3.290344562312671e-12,1.572289156626506,False,
42,1.0826367338740563e-11,1.8132530120481927,False,
42,3.5622478902624517e-11,1.572289156626506,True,
42,1.1721022975334794e-10,0.963855421686747,True,
42,3.856620421163472e-10,0.963855421686747,True,
42,1.2689610031679233e-09,0.963855421686747,True,
42,4.175318936560409e-09,0.9578313253012049,True,
42,1.3738237958832637e-08,0.963855421686747,False,
42,4.52035365636025e-08,0.963855421686747,False,
42,1.4873521072935117e-07,0.9759036144578314,False,
42,4.893900918477499e-07,1.1686746987951808,False,
42,1.6102620275609426e-06,0.9698795180722891,False,
42,5.298316906283713e-06,0.8554216867469879,False,
42,1.7433288221999907e-05,0.7409638554216867,False,
42,5.736152510448681e-05,0.7108433734939759,False,
42,0.00018873918221350996,0.5903614457831325,False,
42,0.0006210169418915629,,False,Validation NMSE too high: 0.0000122796
42,0.002043359717856948,,False,Validation NMSE too high: 0.0000179189
42,0.006723357536499335,,False,Validation NMSE too high: 0.0000295925
42,0.022122162910704502,,False,Validation NMSE too high: 0.0000480873
42,0.07278953843983162,,False,Validation NMSE too high: 0.0000711279
42,0.2395026619987491,,False,Validation NMSE too high: 0.0001119620
42,0.7880462815669936,,False,Validation NMSE too high: 0.0002382181
42,2.592943797404678,,False,Validation NMSE too high: 0.0005482586
42,8.531678524172815,,False,Validation NMSE too high: 0.0011723056
42,28.072162039411815,,False,Validation NMSE too high: 0.0027910427
42,92.36708571873885,,False,Validation NMSE too high: 0.0066212442
42,303.9195382313207,,False,Validation NMSE too high: 0.0136875203
42,1000.0,,False,Validation NMSE too high: 0.0317513632
43,1e-12,1.5301204819277108,True,
43,3.290344562312671e-12,1.4096385542168675,True,
43,1.0826367338740563e-11,1.4156626506024097,True,
43,3.5622478902624517e-11,1.5301204819277108,True,
43,1.1721022975334794e-10,1.5301204819277108,False,
43,3.856620421163472e-10,1.5240963855421688,False,
43,1.2689610031679233e-09,1.5301204819277108,False,
43,4.175318936560409e-09,1.7530120481927711,False,
43,1.3738237958832637e-08,2.355421686746988,True,
43,4.52035365636025e-08,0.8554216867469879,False,
43,1.4873521072935117e-07,0.7108433734939759,False,
43,4.893900918477499e-07,0.7228915662650602,False,
43,1.6102620275609426e-06,0.7228915662650602,False,
43,5.298316906283713e-06,0.7168674698795181,False,
43,1.7433288221999907e-05,0.43373493975903615,False,
43,5.736152510448681e-05,,False,Validation NMSE too high: 0.0000144478
43,0.00018873918221350996,,False,Validation NMSE too high: 0.0000247422
43,0.0006210169418915629,,False,Validation NMSE too high: 0.0000367960
43,0.002043359717856948,,False,Validation NMSE too high: 0.0000500065
43,0.006723357536499335,,False,Validation NMSE too high: 0.0000647093
43,0.022122162910704502,,False,Validation NMSE too high: 0.0000829930
43,0.07278953843983162,,False,Validation NMSE too high: 0.0001145573
43,0.2395026619987491,,False,Validation NMSE too high: 0.0001809490
43,0.7880462815669936,,False,Validation NMSE too high: 0.0003113536
43,2.592943797404678,,False,Validation NMSE too high: 0.0005467317
43,8.531678524172815,,False,Validation NMSE too high: 0.0011111394
43,28.072162039411815,,False,Validation NMSE too high: 0.0033272140
43,92.36708571873885,,False,Validation NMSE too high: 0.0122978534
43,303.9195382313207,,False,Validation NMSE too high: 0.0437491512
43,1000.0,,False,Validation NMSE too high: 0.1306835401
44,1e-12,0.8493975903614458,False,
44,3.290344562312671e-12,0.9397590361445783,False,
44,1.0826367338740563e-11,1.1325301204819278,False,
44,3.5622478902624517e-11,1.427710843373494,False,
44,1.1721022975334794e-10,1.891566265060241,False,
44,3.856620421163472e-10,1.5,True,
44,1.2689610031679233e-09,1.463855421686747,False,
44,4.175318936560409e-09,1.5240963855421688,False,
44,1.3738237958832637e-08,1.783132530120482,False,
44,4.52035365636025e-08,7.289156626506024,False,
44,1.4873521072935117e-07,1.5421686746987953,False,
44,4.893900918477499e-07,1.1566265060240963,False,
44,1.6102620275609426e-06,0.6385542168674698,False,
44,5.298316906283713e-06,0.6325301204819277,False,
44,1.7433288221999907e-05,0.6265060240963856,False,
44,5.736152510448681e-05,0.572289156626506,False,
44,0.00018873918221350996,0,False,
44,0.0006210169418915629,,False,Validation NMSE too high: 0.0000181227
44,0.002043359717856948,,False,Validation NMSE too high: 0.0000360653
44,0.006723357536499335,,False,Validation NMSE too high: 0.0000607430
44,0.022122162910704502,,False,Validation NMSE too high: 0.0000889804
44,0.07278953843983162,,False,Validation NMSE too high: 0.0001326744
44,0.2395026619987491,,False,Validation NMSE too high: 0.0001961762
44,0.7880462815669936,,False,Validation NMSE too high: 0.0002604355
44,2.592943797404678,,False,Validation NMSE too high: 0.0003543624
44,8.531678524172815,,False,Validation NMSE too high: 0.0006941679
44,28.072162039411815,,False,Validation NMSE too high: 0.0019657000
44,92.36708571873885,,False,Validation NMSE too high: 0.0052440530
44,303.9195382313207,,False,Validation NMSE too high: 0.0123655300
44,1000.0,,False,Validation NMSE too high: 0.0335967000
